,,0
day,impressions,-0.2606089606889559
impressions,day,-0.2606089606889559
retweets,day,-0.1945986697507113
day,retweets,-0.1945986697507113
day,engagements,-0.19280344468962168
engagements,day,-0.19280344468962168
day,profile_clicks,-0.15657818050210823
profile_clicks,day,-0.15657818050210823
day,url_clicks,-0.1518252979890483
url_clicks,day,-0.1518252979890483
day,engagement_rate,-0.14857119578596015
engagement_rate,day,-0.14857119578596015
day,likes,-0.146636877127847
likes,day,-0.146636877127847
replies,day,-0.13374289702083636
day,replies,-0.13374289702083636
replies,retweets,0.1569635218915302
retweets,replies,0.1569635218915302
profile_clicks,replies,0.17391635984879267
replies,profile_clicks,0.17391635984879267
replies,url_clicks,0.1775704618908922
url_clicks,replies,0.1775704618908922
replies,impressions,0.2097356906616621
impressions,replies,0.2097356906616621
engagement_rate,replies,0.23531999625712888
replies,engagement_rate,0.23531999625712888
likes,replies,0.25837578712660464
replies,likes,0.25837578712660464
engagements,replies,0.25852757002000354
replies,engagements,0.25852757002000354
impressions,engagement_rate,0.4319560009915765
engagement_rate,impressions,0.4319560009915765
engagement_rate,retweets,0.5260186172746728
retweets,engagement_rate,0.5260186172746728
engagement_rate,profile_clicks,0.5652990435111173
profile_clicks,engagement_rate,0.5652990435111173
engagement_rate,likes,0.579799354503062
likes,engagement_rate,0.579799354503062
engagement_rate,url_clicks,0.5976665942526173
url_clicks,engagement_rate,0.5976665942526173
retweets,profile_clicks,0.6427134091165292
profile_clicks,retweets,0.6427134091165292
likes,profile_clicks,0.652159278680129
profile_clicks,likes,0.652159278680129
engagements,engagement_rate,0.657774338700636
engagement_rate,engagements,0.657774338700636
likes,url_clicks,0.6679795136726537
url_clicks,likes,0.6679795136726537
url_clicks,impressions,0.6741856413917673
impressions,url_clicks,0.6741856413917673
impressions,profile_clicks,0.6791451996264756
profile_clicks,impressions,0.6791451996264756
retweets,url_clicks,0.7033092608904848
url_clicks,retweets,0.7033092608904848
profile_clicks,url_clicks,0.770417256561397
url_clicks,profile_clicks,0.770417256561397
engagements,profile_clicks,0.8285211451225416
profile_clicks,engagements,0.8285211451225416
impressions,likes,0.8413137700359654
likes,impressions,0.8413137700359654
impressions,engagements,0.8706222157398701
engagements,impressions,0.8706222157398701
retweets,engagements,0.8837991985306767
engagements,retweets,0.8837991985306767
likes,engagements,0.8877113717860535
engagements,likes,0.8877113717860535
retweets,impressions,0.8912293277682435
impressions,retweets,0.8912293277682435
likes,retweets,0.8916077159521995
retweets,likes,0.8916077159521995
engagements,url_clicks,0.9069268211636299
url_clicks,engagements,0.9069268211636299
impressions,impressions,1.0
replies,replies,1.0
profile_clicks,profile_clicks,1.0
likes,likes,1.0
retweets,retweets,1.0
engagement_rate,engagement_rate,1.0
engagements,engagements,1.0
url_clicks,url_clicks,1.0
day,day,1.0
